"#Survival to DCV, Different Doses, Post-Infection Temperature 18ºC and 25ºC"							
#Replicate (vial number)
#Time (d.p.i.)
#Status (1=Dead.0=alive)
#Sample=Sample name (code)
#Wol=Wolbachia status
#Dose=Virus dose
#Sex
#Temp
Replicate	Time	Status	Sample	Wolb	Dose	Sex	Temp
3	20	0	E6_Wolbachia	Wolb+	E6	M	18C
3	20	0	E6_Wolbachia	Wolb+	E6	M	18C
3	20	0	E6_Wolbachia	Wolb+	E6	M	18C
3	20	0	E6_Wolbachia	Wolb+	E6	M	18C
3	20	0	E6_Wolbachia	Wolb+	E6	M	18C
3	20	0	E6_Wolbachia	Wolb+	E6	M	18C
3	20	0	E6_Wolbachia	Wolb+	E6	M	18C
3	20	0	E6_Wolbachia	Wolb+	E6	M	18C
4	18	1	E6_Wolbachia	Wolb+	E6	M	18C
4	20	0	E6_Wolbachia	Wolb+	E6	M	18C
4	20	0	E6_Wolbachia	Wolb+	E6	M	18C
4	20	0	E6_Wolbachia	Wolb+	E6	M	18C
4	20	0	E6_Wolbachia	Wolb+	E6	M	18C
4	20	0	E6_Wolbachia	Wolb+	E6	M	18C
4	20	0	E6_Wolbachia	Wolb+	E6	M	18C
4	20	0	E6_Wolbachia	Wolb+	E6	M	18C
4	20	0	E6_Wolbachia	Wolb+	E6	M	18C
4	20	0	E6_Wolbachia	Wolb+	E6	M	18C
5	20	0	E6_Wolbachia	Wolb+	E6	M	18C
5	20	0	E6_Wolbachia	Wolb+	E6	M	18C
5	20	0	E6_Wolbachia	Wolb+	E6	M	18C
5	20	0	E6_Wolbachia	Wolb+	E6	M	18C
5	20	0	E6_Wolbachia	Wolb+	E6	M	18C
5	20	0	E6_Wolbachia	Wolb+	E6	M	18C
5	20	0	E6_Wolbachia	Wolb+	E6	M	18C
5	20	0	E6_Wolbachia	Wolb+	E6	M	18C
5	20	0	E6_Wolbachia	Wolb+	E6	M	18C
5	20	0	E6_Wolbachia	Wolb+	E6	M	18C
1	20	0	E5_iso	Wolb-	E5	M	18C
1	20	0	E5_iso	Wolb-	E5	M	18C
1	20	0	E5_iso	Wolb-	E5	M	18C
1	20	0	E5_iso	Wolb-	E5	M	18C
1	20	0	E5_iso	Wolb-	E5	M	18C
1	20	0	E5_iso	Wolb-	E5	M	18C
1	20	0	E5_iso	Wolb-	E5	M	18C
1	20	0	E5_iso	Wolb-	E5	M	18C
1	20	0	E5_iso	Wolb-	E5	M	18C
1	20	0	E5_iso	Wolb-	E5	M	18C
2	16	1	E5_iso	Wolb-	E5	M	18C
2	20	0	E5_iso	Wolb-	E5	M	18C
2	20	0	E5_iso	Wolb-	E5	M	18C
2	20	0	E5_iso	Wolb-	E5	M	18C
2	20	0	E5_iso	Wolb-	E5	M	18C
2	20	0	E5_iso	Wolb-	E5	M	18C
2	20	0	E5_iso	Wolb-	E5	M	18C
2	20	0	E5_iso	Wolb-	E5	M	18C
2	20	0	E5_iso	Wolb-	E5	M	18C
2	20	0	E5_iso	Wolb-	E5	M	18C
3	1	1	E5_iso	Wolb-	E5	M	18C
3	9	1	E5_iso	Wolb-	E5	M	18C
3	16	1	E5_iso	Wolb-	E5	M	18C
3	20	0	E5_iso	Wolb-	E5	M	18C
3	20	0	E5_iso	Wolb-	E5	M	18C
3	20	0	E5_iso	Wolb-	E5	M	18C
3	20	0	E5_iso	Wolb-	E5	M	18C
3	20	0	E5_iso	Wolb-	E5	M	18C
3	20	0	E5_iso	Wolb-	E5	M	18C
3	20	0	E5_iso	Wolb-	E5	M	18C
4	13	1	E5_iso	Wolb-	E5	M	18C
4	16	1	E5_iso	Wolb-	E5	M	18C
4	20	0	E5_iso	Wolb-	E5	M	18C
4	20	0	E5_iso	Wolb-	E5	M	18C
4	20	0	E5_iso	Wolb-	E5	M	18C
4	20	0	E5_iso	Wolb-	E5	M	18C
4	20	0	E5_iso	Wolb-	E5	M	18C
4	20	0	E5_iso	Wolb-	E5	M	18C
4	20	0	E5_iso	Wolb-	E5	M	18C
4	20	0	E5_iso	Wolb-	E5	M	18C
5	3	1	E5_iso	Wolb-	E5	M	18C
5	20	0	E5_iso	Wolb-	E5	M	18C
5	20	0	E5_iso	Wolb-	E5	M	18C
5	20	0	E5_iso	Wolb-	E5	M	18C
5	20	0	E5_iso	Wolb-	E5	M	18C
5	20	0	E5_iso	Wolb-	E5	M	18C
5	20	0	E5_iso	Wolb-	E5	M	18C
5	20	0	E5_iso	Wolb-	E5	M	18C
5	20	0	E5_iso	Wolb-	E5	M	18C
5	20	0	E5_iso	Wolb-	E5	M	18C
1	20	0	E5_Wolbachia	Wolb+	E5	M	18C
1	20	0	E5_Wolbachia	Wolb+	E5	M	18C
1	20	0	E5_Wolbachia	Wolb+	E5	M	18C
1	20	0	E5_Wolbachia	Wolb+	E5	M	18C
1	20	0	E5_Wolbachia	Wolb+	E5	M	18C
1	20	0	E5_Wolbachia	Wolb+	E5	M	18C
1	20	0	E5_Wolbachia	Wolb+	E5	M	18C
1	20	0	E5_Wolbachia	Wolb+	E5	M	18C
1	20	0	E5_Wolbachia	Wolb+	E5	M	18C
1	20	0	E5_Wolbachia	Wolb+	E5	M	18C
2	20	0	E5_Wolbachia	Wolb+	E5	M	18C
2	20	0	E5_Wolbachia	Wolb+	E5	M	18C
2	20	0	E5_Wolbachia	Wolb+	E5	M	18C
2	20	0	E5_Wolbachia	Wolb+	E5	M	18C
2	20	0	E5_Wolbachia	Wolb+	E5	M	18C
2	20	0	E5_Wolbachia	Wolb+	E5	M	18C
2	20	0	E5_Wolbachia	Wolb+	E5	M	18C
2	20	0	E5_Wolbachia	Wolb+	E5	M	18C
